Ref;Localite;Pays;ID;Source;Sondes;StructureEn;StructureFr;Isolation;CombWood;CombBark;CombLeaves;CombStraw;CombGrass;CombReed;CombPalmFronds;CombPalmLeaves;CombPalmNuts;CombRiceHusks;CombMilletHusks;CombMilletStems;CombBalesSorghum;CombCornStalks;CombSawdust;CombCharcoal;CombKerozene;CombDung;NbPots;Diametre;Hauteur;Interruption;PostCuisson;Duree;TMin;TMoy;TMax;VChauffe;D700;D800;D900;D1000
107;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;447;477;507;5,2;0;0;0;0
108;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467;511,5;556;5,6;0;0;0;0
109;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;437;487;537;5,3;0;0;0;0
110;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;461;506,5;552;5,5;0;0;0;0
111;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;536;682,5;829;7,4;0;0;0;0
112;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;594;642,5;691;7,0;0;0;0;0
113;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;605;650,5;696;7,1;0;0;0;0
114;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;575;649,5;724;7,1;0;0;0;0
115;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;652;718;784;7,8;0;0;0;0
116;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;689,5;701;7,5;0;0;0;0
117;0;Pakistan;0;Rye 1981;2;Kiln;four;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;850;940;1030;1,9;0;0;0;0
118;0;Palestine;0;Rye 1981;3;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;750;912,5;1075;4,3;0;0;0;0
119;0;Palestine;0;Rye 1981;3;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;590;652,5;715;0,9;0;0;0;0
